Program;GNU;ToyBox;Change
base64;349504.85;907797.9;159.74
basename;294027.1;292617.1;-0.48
cat;2125736.1;1517433316.2;71283.9
chmod;1539668.7;1523403.2;-1.06
cksum;11393452.35;206246026.75;1710.22
comm;55065279.7;338316876.9;514.39
cp;108848402.9;147443488.4;35.46
cut;2207312.35;11399989.05;416.46
date;315367.9;315306.9;-0.02
dirname;321538.4;312242.9;-2.89
du;523237.7;518535.05;-0.9
echo;321446.9;310884.75;-3.29
expand;7273003.85;502357.8;-93.09
factor;321971.9;316164.25;-1.8
false;320140.65;314748.35;-1.68
head;320018.7;314821.5;-1.62
id;327916.7;313204.25;-4.49
link;317284.3;312355.8;-1.55
ln;322475.35;335704.6;4.1
logname;322386.9;310829.8;-3.58
ls;1048413.35;3487466.7;232.64
md5sum;118599778.8;264030510.05;122.62
mkdir;306612.3;300334.95;-2.05
mv;306938.95;296898.8;-3.27
sort;95543426.25;469334195.7;391.23
touch;295195.75;295180.6;-0.01
true;294783.85;290862.3;-1.33
wc;454693406.8;151481252.75;-66.68
